Project,Train Version,Test Version,ML Algorithm,Sampling Method,Defect Ratio,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,gmeasure,test_dataset
ant,not,1.3,knn,baseline,0.1555630706797429,0.7063492063492064,0.4126984126984127,0.683490566037736,0.2828384135114394,0.3023255813953488,0.65,0.7169811320754716,0.2830188679245283,0.6817236424101835,0.6826695656384988,0.679783591801583,ant1.3
ant,not,1.3,naive_bayes,baseline,0.1555630706797429,0.3571428571428571,0.3305785123966942,0.6179245283018868,0.2161082679720879,0.198019801980198,1.0,0.2358490566037736,0.7641509433962265,0.4596636860744306,0.4856429311786321,0.672216667947423,ant1.3
ant,not,1.3,decision_tree,baseline,0.1555630706797429,0.6507936507936508,0.3125,0.5896226415094341,0.1373986297839628,0.2272727272727272,0.5,0.6792452830188679,0.320754716981132,0.5799502479076757,0.5827715174143585,0.647164929673462,ant1.3
ant,not,1.3,random_forest,baseline,0.1555630706797429,0.7936507936507936,0.2777777777777778,0.5731132075471698,0.1604861022715003,0.3125,0.25,0.8962264150943396,0.1037735849056603,0.4646174466214965,0.473346177520834,0.781319824442645,ant1.3
ant,not,1.3,svm,baseline,0.1555630706797429,0.8253968253968254,0.45,0.6731132075471699,0.3462264150943396,0.45,0.45,0.8962264150943396,0.1037735849056603,0.6042292602249553,0.6350605378957607,0.801216333622936,ant1.3
ant,not,1.4,knn,baseline,0.1555630706797429,0.7191011235955056,0.4047619047619047,0.6146739130434783,0.2219143718582921,0.3863636363636363,0.425,0.8043478260869565,0.1956521739130435,0.5705207961048058,0.5846775402621145,0.681552926794448,ant1.4
ant,not,1.4,naive_bayes,baseline,0.1555630706797429,0.4157303370786517,0.3333333333333333,0.4989130434782608,-0.0019045258330461,0.2241379310344827,0.65,0.3478260869565217,0.6521739130434783,0.4766307169624671,0.4754860213736457,0.592858415855587,ant1.4
ant,not,1.4,decision_tree,baseline,0.1555630706797429,0.702247191011236,0.3764705882352941,0.594927536231884,0.1823306442059211,0.3555555555555555,0.4,0.7898550724637681,0.2101449275362318,0.5504664136189554,0.5620872076337508,0.668947371960431,ant1.4
ant,not,1.4,random_forest,baseline,0.1555630706797429,0.7359550561797753,0.3733333333333333,0.5989130434782609,0.2077547961804212,0.4,0.35,0.8478260869565217,0.1521739130434782,0.5279529155841739,0.5447376712095305,0.706756961099582,ant1.4
ant,not,1.4,svm,baseline,0.1555630706797429,0.7696629213483146,0.3278688524590163,0.5851449275362318,0.2203427884562225,0.4761904761904761,0.25,0.9202898550724636,0.0797101449275362,0.4666831583362621,0.4796586950823637,0.756072808939648,ant1.4
ant,not,1.5,knn,baseline,0.1555630706797429,0.7679180887372014,0.3333333333333332,0.6640924329501916,0.2400558761339296,0.2428571428571428,0.53125,0.7969348659003831,0.2030651340996168,0.6387784535863791,0.6506701526192656,0.756872271990973,ant1.5
ant,not,1.5,naive_bayes,baseline,0.1555630706797429,0.5733788395904437,0.2857142857142857,0.6645713601532567,0.2053836410372449,0.1748251748251748,0.78125,0.5478927203065134,0.4521072796934866,0.6448573843849175,0.6542485672429582,0.641292931261356,ant1.5
ant,not,1.5,decision_tree,baseline,0.1555630706797429,0.757679180887372,0.3238095238095237,0.65834530651341,0.2283797867364458,0.2328767123287671,0.53125,0.7854406130268199,0.21455938697318,0.6354713364916917,0.6459607771920042,0.748183938532138,ant1.5
ant,not,1.5,random_forest,baseline,0.1555630706797429,0.8054607508532423,0.2784810126582278,0.6029094827586206,0.1749299416749175,0.2340425531914893,0.34375,0.8620689655172413,0.1379310344827586,0.5258222734177174,0.5443677129446158,0.796022590695563,ant1.5
ant,not,1.5,svm,baseline,0.1555630706797429,0.8839590443686007,0.4848484848484848,0.7155172413793104,0.4197763020440562,0.4705882352941176,0.5,0.9310344827586208,0.0689655172413793,0.6430992837157854,0.682288239221013,0.871272738909244,ant1.5
ant,not,1.6,knn,baseline,0.1555630706797429,0.7045454545454546,0.4285714285714285,0.6138795986622073,0.2293953503472965,0.4333333333333333,0.4239130434782608,0.8038461538461539,0.1961538461538461,0.5696788915034339,0.5837472651458141,0.660870223900106,ant1.6
ant,not,1.6,naive_bayes,baseline,0.1555630706797429,0.6448863636363636,0.5614035087719298,0.7174749163879598,0.3840100046236807,0.4145077720207253,0.8695652173913043,0.5653846153846154,0.4346153846153846,0.6791388422864522,0.7011695914588867,0.591295091923296,ant1.6
ant,not,1.6,decision_tree,baseline,0.1555630706797429,0.6875,0.3125,0.5531772575250836,0.1183648883937061,0.3676470588235294,0.2717391304347826,0.8346153846153846,0.1653846153846153,0.471929945392752,0.4762327780223409,0.669678687838546,ant1.6
ant,not,1.6,random_forest,baseline,0.1555630706797429,0.75,0.4698795180722891,0.6446488294314382,0.3119516226300415,0.527027027027027,0.4239130434782608,0.8653846153846154,0.1346153846153846,0.5816714907816896,0.6056796398154363,0.706781256064036,ant1.6
ant,not,1.6,svm,baseline,0.1555630706797429,0.7840909090909091,0.4492753623188406,0.6396321070234113,0.364045985067258,0.6739130434782609,0.3369565217391304,0.9423076923076924,0.0576923076923076,0.5293860093286982,0.5634862220214677,0.759873841068635,ant1.6
ant,not,1.7,knn,baseline,0.1555630706797429,0.702013422818792,0.3657142857142857,0.5891441413321681,0.1720385547364852,0.3478260869565217,0.3855421686746988,0.7927461139896373,0.2072538860103626,0.5414628696913473,0.5528445133995676,0.673022442911326,ant1.7
