Dataset,Project,Train Version,Test Version,ML Algorithm,Sampling Type,Sampling Method,Dimensionality Reduction,Defect Ratio,Validation,Test,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,gmeasure,auc-prc,tn,fp,fn,tp,fnr
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,not,1.3,knn,baseline,,,0.1555630706797429,0,0,{'classification__n_neighbors': 9},0.8378378378378378,0.2835820895522388,0.5802608695652174,0.2265201195864321,0.4523809523809524,0.2065217391304347,0.954,0.046,0.4379840969898674,0.4438713091994511,0.8331863125998529,0.2167373118460074,477,23,73,19,0.7934782608695652
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,not,1.3,knn,baseline,,,0.1555630706797429,1,0,{'classification__n_neighbors': 5},0.8445945945945946,0.3698630136986301,0.6197391304347826,0.3013401455227983,0.5,0.2934782608695652,0.946,0.054,0.4989566047417179,0.5269064763149232,0.834205517117656,0.2565364277320799,473,27,65,27,0.7065217391304348
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,not,1.3,knn,baseline,,,0.1555630706797429,2,0,{'classification__n_neighbors': 13},0.8612521150592216,0.2807017543859649,0.5809444976910342,0.3100230902346362,0.7272727272727273,0.1739130434782608,0.9879759519038076,0.0120240480961923,0.4158064372710149,0.4145140584816431,0.8619285500803697,0.2550778141155541,493,6,76,16,0.8260869565217391
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,not,1.3,knn,baseline,,,0.1555630706797429,3,0,{'classification__n_neighbors': 9},0.8527918781725888,0.2926829268292683,0.5848000348523134,0.2758006926135172,0.5806451612903226,0.1956521739130435,0.9739478957915833,0.0260521042084168,0.4309419460790933,0.4365260852339269,0.8506404677621096,0.2388159940007072,486,13,74,18,0.8043478260869565
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,not,1.3,knn,baseline,,,0.1555630706797429,4,0,{'classification__n_neighbors': 1},0.8341793570219966,0.4555555555555555,0.6757318985797682,0.3579311161073444,0.4659090909090909,0.4456521739130434,0.905811623246493,0.094188376753507,0.6023990929318728,0.6353557421283783,0.8131281015655626,0.2939278154531409,452,47,51,41,0.5543478260869565
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_knn_cross,ant,not,1.3,knn,baseline,,,0.1555630706797429,4,1,{'classification__n_neighbors': 1},0.7063492063492064,0.4126984126984127,0.683490566037736,0.2828384135114394,0.3023255813953488,0.65,0.7169811320754716,0.2830188679245283,0.6817236424101835,0.6826695656384988,0.6797835918015837,0.2520671834625322,76,30,7,13,0.35
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,not,1.3,naive_bayes,baseline,,,0.1555630706797429,0,0,{},0.8074324324324325,0.3214285714285714,0.5977391304347826,0.2117121270219304,0.3552631578947368,0.2934782608695652,0.902,0.098,0.4956306076574956,0.5145069399962918,0.7943635501392333,0.2140593110272744,451,49,65,27,0.7065217391304348
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,not,1.3,naive_bayes,baseline,,,0.1555630706797429,1,0,{},0.8057432432432432,0.3428571428571428,0.6100434782608696,0.2296546711207366,0.3614457831325301,0.3260869565217391,0.894,0.106,0.5176128162097731,0.5399275313691966,0.7904109990556946,0.222592485099033,447,53,62,30,0.6739130434782609
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,not,1.3,naive_bayes,baseline,,,0.1555630706797429,2,0,{},0.8307952622673435,0.382716049382716,0.62940010455694,0.2903627679343941,0.4428571428571428,0.3369565217391304,0.9218436873747496,0.0781563126252505,0.5279115213927329,0.557334049278321,0.8161424729430092,0.2524384925013925,460,39,61,31,0.6630434782608695
ant_not_ant_1.3_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,not,1.3,naive_bayes,baseline,,,0.1555630706797429,3,0,{},0.8037225042301185,0.3176470588235294,0.595636926025965,0.2048772833338794,0.3461538461538461,0.2934782608695652,0.8977955911823647,0.1022044088176352,0.4952135555278567,0.513306427698469,0.7905082092644476,0.2115717082887685,448,51,65,27,0.7065217391304348
