Dataset,Project,Train Version,Test Version,ML Algorithm,Max Bug Per File,Mutation Version,Dimensionality Reduction,Defect Ratio,Validation,Test,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,g-measure,auc-prc,tn,fp,fn,tp,fnr
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.4,naive_bayes,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,4,0,{},0.72,0.5333333333333333,0.6617647058823529,0.3361227822436775,0.5714285714285714,0.5,0.8235294117647058,0.1764705882352941,0.6250720945887658,0.6416889479197478,0.6274936237343818,0.4457142857142857,14,3,4,4,0.5
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.4,naive_bayes,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,4,1,{},0.6853932584269663,0.3170731707317073,0.5574275362318839,0.1129082352961649,0.3095238095238095,0.325,0.7898550724637681,0.2101449275362318,0.5001070661785625,0.5066585621014655,0.6630464051816618,0.2522806313536651,109,29,27,13,0.675
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,1.3,1.4,decision_tree,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,0,0,{'classification__criterion': 'entropy'; 'classification__max_depth': 5; 'classification__max_features': 'sqrt'},0.5384615384615384,0.25,0.4583333333333334,-0.0833333333333333,0.25,0.25,0.6666666666666666,0.3333333333333333,0.4196504884506616,0.408248290463863,0.5359116022099447,0.2932692307692308,12,6,6,2,0.75
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,1.3,1.4,decision_tree,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,1,0,{'classification__criterion': 'log_loss'; 'classification__max_depth': 8; 'classification__max_features': 'sqrt'},0.6,0.2857142857142857,0.503968253968254,0.0079365079365079,0.2857142857142857,0.2857142857142857,0.7222222222222222,0.2777777777777778,0.458075385565569,0.4542567625794979,0.5689655172413793,0.2816326530612245,13,5,5,2,0.7142857142857143
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,1.3,1.4,decision_tree,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,2,0,{'classification__criterion': 'entropy'; 'classification__max_depth': 5; 'classification__max_features': 'log2'},0.8,0.6666666666666666,0.773809523809524,0.5271016357912215,0.625,0.7142857142857143,0.8333333333333334,0.1666666666666666,0.7661085392334702,0.7715167498104596,0.7044503889093531,0.5264285714285715,15,3,2,5,0.2857142857142857
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,1.3,1.4,decision_tree,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,3,0,{'classification__criterion': 'entropy'; 'classification__max_depth': 5; 'classification__max_features': 'log2'},0.6,0.375,0.5404411764705882,0.0808823529411764,0.375,0.375,0.7058823529411765,0.2941176470588235,0.5115687406034404,0.5144957554275266,0.5426829268292683,0.340625,12,5,5,3,0.625
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,1.3,1.4,decision_tree,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,4,0,{'classification__criterion': 'log_loss'; 'classification__max_depth': 8; 'classification__max_features': 'sqrt'},0.6,0.5,0.6066176470588236,0.199097700688145,0.4166666666666667,0.625,0.5882352941176471,0.4117647058823529,0.6061883870361486,0.6063390625908325,0.5140719662166616,0.3804166666666667,10,7,3,5,0.375
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,1.3,1.4,decision_tree,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,2,1,{'classification__criterion': 'entropy'; 'classification__max_depth': 5; 'classification__max_features': 'log2'},0.6910112359550562,0.3209876543209876,0.5610507246376811,0.1210425726735402,0.3170731707317073,0.325,0.7971014492753623,0.2028985507246377,0.5016061688352482,0.5089773777040516,0.6678852304055919,0.2547341737462318,110,28,27,13,0.675
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_random_forest_cross,ant,1.3,1.4,random_forest,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,0,0,{'classification__criterion': 'gini'; 'classification__max_features': 'sqrt'; 'classification__n_estimators': 20},0.6923076923076923,0.3333333333333333,0.5694444444444444,0.1776672636296753,0.5,0.25,0.8888888888888888,0.1111111111111111,0.4638816926217005,0.4714045207910317,0.661465361495662,0.3557692307692308,16,2,6,2,0.75
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.3_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_random_forest_cross,ant,1.3,1.4,random_forest,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,,0.3,1,0,{'classification__criterion': 'gini'; 'classification__max_features': None; 'classification__n_estimators': 20},0.68,0.3333333333333333,0.5595238095238095,0.1336306209562122,0.4,0.2857142857142857,0.8333333333333334,0.1666666666666666,0.4813566449811437,0.4879500364742665,0.6379069582284879,0.3142857142857143,15,3,5,2,0.7142857142857143
