Project,Train Version,Test Version,ML Algorithm,Sampling Method,Defect Ratio,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,gmeasure
jEdit,4.1,4.3,svm,smote,0.5,{'classification__coef0': 3; 'classification__degree': 3; 'classification__gamma': 'auto'; 'classification__kernel': 'poly'},0.6727642276422764,0.0693641618497109,0.6105651105651105,0.0695668764146827,0.037037037037037,0.5454545454545454,0.6756756756756757,0.3243243243243243,0.6051596287128409,0.6070834938872647,0.7344586869355906
jEdit,4.1,4.3,knn,random_over_sampler,0.5,{'classification__n_neighbors': 13},0.6747967479674797,0.0697674418604651,0.6116046116046115,0.0703321804907378,0.0372670807453416,0.5454545454545454,0.6777546777546778,0.3222453222453222,0.6060116639055634,0.6080167511544149,0.7354640558765052
jEdit,4.1,4.3,naive_bayes,random_over_sampler,0.5,{},0.823170731707317,0.1030927835051546,0.6430731430731431,0.111389627595197,0.0581395348837209,0.4545454545454545,0.8316008316008316,0.1683991683991684,0.5963423845171776,0.6148173533663295,0.8340954389368526
jEdit,4.1,4.3,decision_tree,random_over_sampler,0.5,{'classification__criterion': 'log_loss'; 'classification__max_depth': 6; 'classification__max_features': 'log2'},0.5508130081300813,0.0675105485232067,0.637025137025137,0.0813025343526885,0.0353982300884955,0.7272727272727273,0.5467775467775468,0.4532224532224532,0.6259740935481641,0.6306000298575933,0.6945188354649554
jEdit,4.1,4.3,random_forest,random_over_sampler,0.5,{'classification__criterion': 'log_loss'; 'classification__max_features': 'sqrt'; 'classification__n_estimators': 20},0.7520325203252033,0.0895522388059701,0.6511056511056512,0.1031843527237083,0.048780487804878,0.5454545454545454,0.7567567567567568,0.2432432432432432,0.6354599846166229,0.6424767799511611,0.7809551656673457
jEdit,4.1,4.3,svm,random_over_sampler,0.5,{'classification__coef0': 2; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.6707317073170732,0.0581395348837209,0.5651105651105651,0.0410320680424372,0.031055900621118,0.4545454545454545,0.6756756756756757,0.3243243243243243,0.5512757369467001,0.5541888731518408,0.7335386090527737
jEdit,4.1,4.3,knn,smote_n,0.5,{'classification__n_neighbors': 3},0.6971544715447154,0.0745341614906832,0.623039123039123,0.0790284421366592,0.04,0.5454545454545454,0.7006237006237006,0.2993762993762994,0.6151378565796699,0.6181896004935559,0.747198508879558
jEdit,4.1,4.3,naive_bayes,smote_n,0.5,{},0.7276422764227642,0.0694444444444444,0.5942165942165942,0.0627268144650677,0.037593984962406,0.4545454545454545,0.7338877338877339,0.2661122661122661,0.5708517742478536,0.5775684665780617,0.765206995038612
jEdit,4.1,4.3,decision_tree,smote_n,0.5,{'classification__criterion': 'log_loss'; 'classification__max_depth': 6; 'classification__max_features': 'log2'},0.7134146341463414,0.0662251655629139,0.5869400869400869,0.0569749033327479,0.0357142857142857,0.4545454545454545,0.7193347193347194,0.2806652806652807,0.5662410456670979,0.5718131923717107,0.7565740697466163
jEdit,4.1,4.3,random_forest,smote_n,0.5,{'classification__criterion': 'gini'; 'classification__max_features': None; 'classification__n_estimators': 100},0.7134146341463414,0.0903225806451612,0.6757701757701757,0.1142281637465164,0.0486111111111111,0.6363636363636364,0.7151767151767152,0.2848232848232848,0.6733842406311327,0.6746202302869779,0.756409878244624
jEdit,4.1,4.3,svm,smote_n,0.5,{'classification__coef0': 2; 'classification__degree': 3; 'classification__gamma': 'scale'; 'classification__kernel': 'poly'},0.6646341463414634,0.0677966101694915,0.6064071064071064,0.0665436571906516,0.036144578313253,0.5454545454545454,0.6673596673596673,0.3326403326403326,0.6017154527558186,0.6033360291034872,0.7305418252372365
jEdit,4.1,4.3,knn,borderline_smote,0.5,{'classification__n_neighbors': 9},0.556910569105691,0.0916666666666666,0.7733887733887734,0.1620630236800989,0.0480349344978165,1.0,0.5467775467775468,0.4532224532224532,0.6795233299404004,0.7394440795472953,0.6954420164479556
jEdit,4.1,4.3,naive_bayes,borderline_smote,0.5,{},0.7459349593495935,0.074074074074074,0.6035721035721036,0.0705353655573721,0.0403225806451612,0.4545454545454545,0.7525987525987526,0.2474012474012474,0.5764861050846632,0.5848848964457384,0.7769676491525052
jEdit,4.1,4.3,decision_tree,borderline_smote,0.5,{'classification__criterion': 'entropy'; 'classification__max_depth': 5; 'classification__max_features': 'auto'},0.3536585365853658,0.0647058823529411,0.6694386694386694,0.1064436253272057,0.033434650455927,1.0,0.3388773388773389,0.6611226611226612,0.5325156831240705,0.5821317195251766,0.7228359672880259
jEdit,4.1,4.3,random_forest,borderline_smote,0.5,{'classification__criterion': 'gini'; 'classification__max_features': None; 'classification__n_estimators': 80},0.6260162601626016,0.1067961165048543,0.8087318087318087,0.1866314040699666,0.0564102564102564,1.0,0.6174636174636174,0.3825363825363825,0.7295059298579527,0.7857885322805478,0.7140562009773909
