Dataset,Project,Train Version,Test Version,ML Algorithm,Max Bug Per File,Mutation Version,Dimensionality Reduction,Defect Ratio,Validation,Test,Parameters,Accuracy,F1,AUC,MCC,Precision,Recall(pd),TNR-Specificity,pf,bal,g-mean,g-measure,auc-prc,tn,fp,fn,tp
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.4,naive_bayes,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,4,0,{},0.68,0.6666666666666666,0.6794871794871794,0.358974358974359,0.6666666666666666,0.6666666666666666,0.6923076923076923,0.3076923076923077,0.6792308717129025,0.6793662204867574,0.5277777777777778,0.6044444444444445,9,4,4,8
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_naive_bayes_cross,ant,1.3,1.4,naive_bayes,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,4,1,{},0.5786516853932584,0.358974358974359,0.5596014492753623,0.10042695741069119,0.2727272727272727,0.525,0.5942028985507246,0.4057971014492754,0.5582442487388345,0.5585306811081469,0.5802337104913426,0.24992339121552604,82,56,19,21
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,1.3,1.4,decision_tree,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,0,0,{'classification__criterion': 'gini'; 'classification__max_depth': 10; 'classification__max_features': 'sqrt'},0.38461538461538464,0.2,0.3846153846153846,-0.260132990857236,0.2857142857142857,0.15384615384615385,0.6153846153846154,0.38461538461538464,0.34276894266788227,0.30769230769230776,0.5431439421372034,0.46703296703296704,8,5,11,2
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,1.3,1.4,decision_tree,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,1,0,{'classification__criterion': 'log_loss'; 'classification__max_depth': 10; 'classification__max_features': 'log2'},0.56,0.5925925925925926,0.5641025641025641,0.13074409009212268,0.5333333333333333,0.6666666666666666,0.46153846153846156,0.5384615384615384,0.5521987385494108,0.5547001962252291,0.47628967220784013,0.5155555555555555,6,7,4,8
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,1.3,1.4,decision_tree,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,2,0,{'classification__criterion': 'log_loss'; 'classification__max_depth': 7; 'classification__max_features': 'log2'},0.6,0.6428571428571429,0.6057692307692308,0.22017621148199482,0.5625,0.75,0.46153846153846156,0.5384615384615384,0.5802138470587871,0.5883484054145521,0.5004004806408974,0.541875,6,7,3,9
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,1.3,1.4,decision_tree,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,3,0,{'classification__criterion': 'entropy'; 'classification__max_depth': 9; 'classification__max_features': 'sqrt'},0.64,0.6896551724137931,0.6474358974358975,0.3158101459191266,0.5882352941176471,0.8333333333333334,0.46153846153846156,0.5384615384615384,0.6014284216228254,0.6201736729460423,0.5335936864527374,0.5701960784313725,6,7,2,10
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,1.3,1.4,decision_tree,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,4,0,{'classification__criterion': 'gini'; 'classification__max_depth': 8; 'classification__max_features': 'log2'},0.84,0.8181818181818182,0.8365384615384616,0.6864064729836441,0.9,0.75,0.9230769230769231,0.07692307692307693,0.8150443840223909,0.8320502943378437,0.7144345083117603,0.795,12,1,3,9
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_decision_tree_cross,ant,1.3,1.4,decision_tree,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,4,1,{'classification__criterion': 'gini'; 'classification__max_depth': 8; 'classification__max_features': 'log2'},0.6910112359550562,0.4444444444444444,0.6409420289855072,0.24994276348154645,0.3728813559322034,0.55,0.7318840579710145,0.26811594202898553,0.6296041587908348,0.6344574311047653,0.645314590284014,0.30620834126832985,101,37,18,22
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_random_forest_cross,ant,1.3,1.4,random_forest,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,0,0,{'classification__criterion': 'log_loss'; 'classification__max_features': 'sqrt'; 'classification__n_estimators': 40},0.6153846153846154,0.5,0.6153846153846154,0.260132990857236,0.7142857142857143,0.38461538461538464,0.8461538461538461,0.15384615384615385,0.5514652388580539,0.5704768066996664,0.5431439421372034,0.5824175824175825,11,2,8,5
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_random_forest_cross,ant,1.3,1.4,random_forest,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,1,0,{'classification__criterion': 'gini'; 'classification__max_features': None; 'classification__n_estimators': 60},0.6,0.6153846153846154,0.6025641025641025,0.20645590963700367,0.5714285714285714,0.6666666666666666,0.5384615384615384,0.46153846153846156,0.5974277315869851,0.5991446895152781,0.4827701016847146,0.540952380952381,7,6,4,8
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_random_forest_cross,ant,1.3,1.4,random_forest,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,2,0,{'classification__criterion': 'gini'; 'classification__max_features': 'log2'; 'classification__n_estimators': 90},0.76,0.7692307692307693,0.7628205128205129,0.5290432684448219,0.7142857142857143,0.8333333333333334,0.6923076923076923,0.3076923076923077,0.7525607812100156,0.7595545253127499,0.6069109849750699,0.6752380952380952,9,4,2,10
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_random_forest_cross,ant,1.3,1.4,random_forest,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,3,0,{'classification__criterion': 'gini'; 'classification__max_features': 'log2'; 'classification__n_estimators': 10},0.64,0.6666666666666666,0.6442307692307692,0.29417420270727607,0.6,0.75,0.5384615384615384,0.46153846153846156,0.6288411718150234,0.6354889093022426,0.5103103630798288,0.57,7,6,3,9
ant_1.3_v_1_0_15_f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15_0.5_java_1.3_ext_2.2_j16_45_ant_1.4_org_java_1.3_ext_2.2_j16_45_random_forest_cross,ant,1.3,1.4,random_forest,f1f2f3f4f5f6f7f8f9f10f11f12f13f14f15,v_1_0_15,None,0.5,4,0,{'classification__criterion': 'gini'; 'classification__max_features': None; 'classification__n_estimators': 20},0.76,0.7,0.7532051282051283,0.5423695984263261,0.875,0.5833333333333334,0.9230769230769231,0.07692307692307693,0.700393365498672,0.7337993857053429,0.6312022876331163,0.7104166666666667,12,1,5,7
